Trials,Switch_Win_Percentage,Stay_Win_Percentage
1,100,100
2,100,50
3,100,66.6666667
4,25,75
5,60,20
6,66.6666667,33.3333333
7,100,57.1428571
8,50,62.5
9,77.7777778,55.5555556
10,80,50
11,90.9090909,18.1818182
12,58.3333333,33.3333333
13,46.1538462,23.0769231
14,57.1428571,28.5714286
15,66.6666667,26.6666667
16,62.5,12.5
17,76.4705882,41.1764706
18,50,44.4444444
19,63.1578947,52.6315789
20,70,30
21,85.7142857,38.0952381
22,72.7272727,27.2727273
23,78.2608696,34.7826087
24,58.3333333,58.3333333
25,72,36
26,65.3846154,42.3076923
27,62.962963,22.2222222
28,75,32.1428571
29,75.862069,34.4827586
30,63.3333333,33.3333333
31,67.7419355,35.483871
32,65.625,31.25
33,72.7272727,30.3030303
34,76.4705882,44.1176471
35,54.2857143,42.8571429
36,66.6666667,22.2222222
37,56.7567568,35.1351351
38,71.0526316,28.9473684
39,64.1025641,38.4615385
40,60,22.5
41,68.2926829,39.0243902
42,80.952381,23.8095238
43,76.744186,25.5813953
44,72.7272727,31.8181818
45,68.8888889,35.5555556
46,63.0434783,39.1304348
47,53.1914894,34.0425532
48,75,27.0833333
49,65.3061224,28.5714286
50,58,32
51,64.7058824,35.2941176
52,53.8461538,42.3076923
53,62.2641509,33.9622642
54,68.5185185,29.6296296
55,70.9090909,29.0909091
56,67.8571429,33.9285714
57,71.9298246,45.6140351
58,62.0689655,29.3103448
59,72.8813559,23.7288136
60,60,31.6666667
61,62.295082,36.0655738
62,75.8064516,33.8709677
63,63.4920635,31.7460317
64,68.75,29.6875
65,66.1538462,33.8461538
66,66.6666667,28.7878788
67,65.6716418,35.8208955
68,61.7647059,29.4117647
69,76.8115942,27.5362319
70,68.5714286,30
71,70.4225352,35.2112676
72,65.2777778,29.1666667
73,73.9726027,23.2876712
74,64.8648649,31.0810811
75,60,36
76,69.7368421,32.8947368
77,66.2337662,25.974026
78,75.6410256,41.025641
79,67.0886076,34.1772152
80,71.25,32.5
81,69.1358025,30.8641975
82,78.0487805,39.0243902
83,69.8795181,34.939759
84,65.4761905,28.5714286
85,71.7647059,41.1764706
86,70.9302326,36.0465116
87,66.6666667,33.3333333
88,63.6363636,42.0454545
89,68.5393258,22.4719101
90,62.2222222,32.2222222
91,60.4395604,27.4725275
92,68.4782609,31.5217391
93,60.2150538,32.2580645
94,63.8297872,32.9787234
95,63.1578947,32.6315789
96,65.625,27.0833333
97,74.2268041,41.2371134
98,65.3061224,30.6122449
99,70.7070707,25.2525253
100,61,42
101,74.2574257,25.7425743
102,57.8431373,25.4901961
103,61.1650485,37.8640777
104,64.4230769,25
105,60,29.5238095
106,68.8679245,26.4150943
107,62.6168224,24.2990654
108,65.7407407,31.4814815
109,55.9633028,43.1192661
110,69.0909091,30
111,66.6666667,41.4414414
112,59.8214286,36.6071429
113,64.6017699,28.3185841
114,69.2982456,26.3157895
115,69.5652174,34.7826087
116,64.6551724,29.3103448
117,68.3760684,35.8974359
118,75.4237288,33.0508475
119,70.5882353,31.092437
120,73.3333333,34.1666667
121,68.5950413,42.9752066
122,68.0327869,38.5245902
123,64.2276423,40.6504065
124,64.516129,39.516129
125,63.2,29.6
126,55.5555556,34.9206349
127,64.5669291,31.496063
128,71.09375,28.125
129,65.1162791,29.4573643
130,69.2307692,27.6923077
131,76.3358779,28.2442748
132,67.4242424,34.8484848
133,65.4135338,31.5789474
134,68.6567164,33.5820896
135,62.962963,28.8888889
136,61.7647059,33.0882353
137,63.5036496,25.5474453
138,67.3913043,35.5072464
139,69.0647482,32.3741007
140,65.7142857,35.7142857
141,67.3758865,29.0780142
142,65.4929577,32.3943662
143,67.8321678,30.7692308
144,71.5277778,39.5833333
145,73.1034483,35.1724138
146,62.3287671,27.3972603
147,63.9455782,32.6530612
148,66.2162162,32.4324324
149,59.7315436,28.8590604
150,66,32.6666667
151,62.9139073,29.8013245
152,61.1842105,29.6052632
153,65.3594771,34.6405229
154,54.5454545,42.8571429
155,68.3870968,40
156,66.025641,30.7692308
157,74.522293,35.6687898
158,72.7848101,33.5443038
159,67.2955975,30.8176101
160,67.5,35
161,68.9440994,40.9937888
162,68.5185185,32.0987654
163,59.5092025,30.6748466
164,71.3414634,40.2439024
165,66.0606061,33.9393939
166,63.8554217,32.5301205
167,62.8742515,35.3293413
168,58.9285714,37.5
169,62.1301775,35.5029586
170,62.3529412,35.8823529
171,69.005848,32.1637427
172,68.0232558,34.8837209
173,65.8959538,34.1040462
174,67.2413793,32.7586207
175,66.8571429,29.7142857
176,65.3409091,32.9545455
177,67.2316384,31.0734463
178,69.1011236,39.8876404
179,63.6871508,36.8715084
180,67.2222222,31.6666667
181,70.718232,35.9116022
182,71.978022,28.5714286
183,66.6666667,36.6120219
184,65.2173913,35.326087
185,65.9459459,34.0540541
186,67.2043011,24.7311828
187,66.3101604,37.9679144
188,64.893617,32.4468085
189,61.3756614,38.6243386
190,70,30.5263158
191,67.0157068,31.4136126
192,69.7916667,41.6666667
193,67.357513,31.6062176
194,68.556701,32.9896907
195,69.2307692,30.7692308
196,66.3265306,37.755102
197,61.928934,35.0253807
198,68.6868687,37.8787879
199,62.8140704,36.1809045
200,67,30
201,61.1940299,34.8258706
202,65.8415842,38.1188119
203,62.5615764,34.4827586
204,65.6862745,27.4509804
205,71.7073171,36.097561
206,66.9902913,37.8640777
207,63.2850242,33.3333333
208,63.4615385,40.8653846
209,64.5933014,33.492823
210,67.6190476,36.6666667
211,65.4028436,33.1753555
212,64.1509434,29.245283
213,65.258216,31.4553991
214,67.2897196,35.5140187
215,66.0465116,33.9534884
216,66.6666667,30.5555556
217,66.8202765,29.4930876
218,67.8899083,30.733945
219,65.2968037,29.6803653
220,60,43.1818182
221,66.9683258,30.7692308
222,60.8108108,32.8828829
223,65.470852,33.632287
224,68.75,36.1607143
225,65.7777778,27.5555556
226,69.4690265,28.7610619
227,63.876652,32.1585903
228,67.9824561,28.0701754
229,68.9956332,33.6244541
230,67.3913043,36.9565217
231,73.1601732,35.4978355
232,67.6724138,33.6206897
